Name;Type (spreadsheet, plain or custom_api);Data freshness (realtime, 1h, 4h, 12h or 1d);Value (if type is plain);Spreadsheet ID (if type is spreadsheet);Cell (if type is spreadsheet);Filter value (if type is spreadsheet);Comparison value (if type is spreadsheet);Endpoint (if type is custom_api);Tree (if type is custom_api)
EXTERNAL_FIELD_NIBC_Q32_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CO:CO;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q32_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CP:CP;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q32_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CQ:CQ;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q33_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CR:CR;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q33_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CS:CS;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q33_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CT:CT;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q34_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CU:CU;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q34_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CV:CV;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q34_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CW:CW;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q35_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CX:CX;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q35_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CY:CY;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q35_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CZ:CZ;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q36_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DA:DA;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q36_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DB:DB;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q36_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DC:DC;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q37_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DD:DD;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q37_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DE:DE;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q37_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DF:DF;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q38_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DG:DG;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q38_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DH:DH;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q38_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DI:DI;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q39_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DJ:DJ;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q39_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DK:DK;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q39_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DL:DL;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q40_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DM:DM;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q40_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DN:DN;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q40_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DO:DO;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q41_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DP:DP;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q41_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DQ:DQ;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q41_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DR:DR;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q42_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DS:DS;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q42_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!DT:DT;*|intro_field2_response|*;;;
