Name;Type (spreadsheet, plain or custom_api);Data freshness (realtime, 1h, 4h, 12h or 1d);Value (if type is plain);Spreadsheet ID (if type is spreadsheet);Cell (if type is spreadsheet);Filter value (if type is spreadsheet);Comparison value (if type is spreadsheet);Endpoint (if type is custom_api);Tree (if type is custom_api)
OKR_Q14_A5;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:BU1000;*|intro_field1_response|*;;;
OKR_Q15_GLOBAL;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:BV1000;*|intro_field1_response|*;;;
OKR_Q15_A1;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:BX1000;*|intro_field1_response|*;;;
OKR_Q15_A2;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:BY1000;*|intro_field1_response|*;;;
OKR_Q15_A3;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:BZ1000;*|intro_field1_response|*;;;
OKR_Q15_A4;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CA1000;*|intro_field1_response|*;;;
OKR_Q15_A5;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CB1000;*|intro_field1_response|*;;;
OKR_Q16_GLOBAL;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CC1000;*|intro_field1_response|*;;;
OKR_Q16_A1;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CD1000;*|intro_field1_response|*;;;
OKR_Q16_A2;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CE1000;*|intro_field1_response|*;;;
OKR_Q16_A3;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CF1000;*|intro_field1_response|*;;;
OKR_Q16_A4;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CG1000;*|intro_field1_response|*;;;
OKR_Q16_A5;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CH1000;*|intro_field1_response|*;;;
OKR_Q17_GLOBAL;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CI1000;*|intro_field1_response|*;;;
OKR_Q17_A1;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CJ1000;*|intro_field1_response|*;;;
OKR_Q17_A2;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CK1000;*|intro_field1_response|*;;;
OKR_Q17_A3;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CL1000;*|intro_field1_response|*;;;
OKR_Q17_A4;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CM1000;*|intro_field1_response|*;;;
OKR_Q17_A5;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CN1000;*|intro_field1_response|*;;;
OKR_Q18_GLOBAL;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CO1000;*|intro_field1_response|*;;;
OKR_Q18_A1;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CP1000;*|intro_field1_response|*;;;
OKR_Q18_A2;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CQ1000;*|intro_field1_response|*;;;
OKR_Q18_A3;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CR1000;*|intro_field1_response|*;;;
OKR_Q18_A4;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CS1000;*|intro_field1_response|*;;;
OKR_Q18_A5;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CT1000;*|intro_field1_response|*;;;
OKR_Q19_GLOBAL;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CU1000;*|intro_field1_response|*;;;
OKR_Q19_A1;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:CV1000;*|intro_field1_response|*;;;
